video_id,languages_all,languages_non_auto,has_auto_dub,source,fetched_at,status,error
hWV8pZDaNP4,en,en,unknown,youtubei.js,2025-12-31,ok,
EFxv9adEfh8,en,en,unknown,youtubei.js,2025-12-31,ok,
1FFuDPb2gIQ,en-US,en-US,false,youtubei.js,2025-12-31,ok,
5j62RSi71As,en-US,en-US,false,youtubei.js,2025-12-31,ok,
CEgI_y1WLUg,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
LT3GlSPc6X4,de-DE|en|en-US|es-US|fr-FR|it|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
mrwvfyZEer4,de-DE|en|en-US|es-US|fr-FR|it|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
-Q0Jeob8e4g,de-DE|en|en-US|es-US|fr-FR|it|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
WKTSQ3VPRbk,de-DE|en|en-US|es-US|fr-FR|it|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
E3nBGL21uto,de-DE|en|en-US|es-US|fr-FR|hi|ja,en-US,true,youtubei.js,2025-12-31,ok,
FbYIje9X5x0,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
chzdmjDKjis,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
tbwAokKB7zE,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
IB71wkaqgg4,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
juDsaKce4Z4,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
FGy85b-l4wU,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
3ZPyd5XScBg,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
jCwonJNOKgk,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
2DffplSb83k,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
_UZgE9b7ozc,de-DE|en|en-US|es-US|fr-FR|hi|id|ja|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
nVrDJrekFrg,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
Sk9Sa6LSRL8,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
acTD3pNe9ps,en-US,en-US,false,youtubei.js,2025-12-31,ok,
bM3kelKLDsU,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
QVzd8feRFuo,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
