topicID,lang,name,typeID,layer,description,version,url
SYP1,en,Syphilology,1,4,Sexually transmitted infection – study of syphilis,1,https://en.wikipedia.org/wiki/Symbology
SYS2,en,Systematics,1,4,"Branch of biology – study of the diversification of living forms, both past and present",1,https://en.wikipedia.org/wiki/Symbology
TAX2,en,Taxidermy,1,4,Stuffing and mounting dead animals for display – art of curing and stuffing animals,1,https://en.wikipedia.org/wiki/Symbology
TEL3,en,Telmatology,1,4,Branch of physical geography concerned with the study of wetlands,1,https://en.wikipedia.org/wiki/Terrestrial_ecology
TEM1,en,Tempestology,1,4,"The study of cyclones, hurricanes and similar extreme weather events",1,https://en.wikipedia.org/wiki/Terrestrial_ecology
THA3,en,Thalassography,1,4,science of the seas and gulfs,1,https://en.wikipedia.org/wiki/Teuthology
THE2,en,Theriogenology,1,4,Veterinary specialty concerning reproduction,1,https://en.wikipedia.org/wiki/Teuthology
THR1,en,Thremmatology,1,4,science of breeding domestic animals and plants,1,https://en.wikipedia.org/wiki/Teuthology
THR2,en,Threpsology,1,4,science of nutrition,1,https://en.wikipedia.org/wiki/Teuthology
TID1,en,Tidology,1,4,study of tides,1,https://en.wikipedia.org/wiki/Teuthology
TRA1,en,Traumatology,1,4,Medicine branch – study of wounds and their effects,1,https://en.wikipedia.org/wiki/Tonetics
TRI1,en,Tribology,1,4,Science of rubbing surfaces,1,https://en.wikipedia.org/wiki/Tonetics
TUR1,en,Turbology,1,4,study of tornadoes,1,https://en.wikipedia.org/wiki/Trichology
TYP1,en,Typhlology,1,4,study of blindness and the blind,1,https://en.wikipedia.org/wiki/Typology
URA2,en,Uranography,1,4,Part of astronomy concerned with mapping of stars,1,https://en.wikipedia.org/wiki/Typology
URB1,en,Urbanology,1,4,Study dealing with specialized problems of cities,1,https://en.wikipedia.org/wiki/Typology
URE1,en,Urenology,1,4,study of rust molds,1,https://en.wikipedia.org/wiki/Typology
URO2,en,Urology,1,4,Medical specialty on the urinary and reproductive systems,1,https://en.wikipedia.org/wiki/Typology
